J,Jcorrect,gene,species,Done
TCRAJ12,TRAJ12,TRAJ,Human,yes
TCRAJ26,TRAJ26,TRAJ,Human,yes
TCRAJ28,TRAJ28,TRAJ,Human,yes
TCRAJ42,TRAJ42,TRAJ,Human,yes
TCRAJ44,TRAJ44,TRAJ,Human,yes
TCRAJ45,TRAJ45,TRAJ,Human,yes
TCRAJ47,TRAJ47,TRAJ,Human,yes
TCRAJ58,TRAJ58,TRAJ,Human,yes
TCRAJ6,TRAJ6,TRAJ,Human,yes
TRAJ1-01,TRAJ1,TRAJ,Human,yes
TRAJ1-3,TRAJ1,TRAJ,Human,yes
TRAJ1-8,TRAJ1,TRAJ,Human,yes
TRAJ10-1,TRAJ10,TRAJ,Human,yes
TRAJ14-1,TRAJ14,TRAJ,Human,yes
TRAJ16-1,TRAJ16,TRAJ,Human,yes
TRAJ16-5,TRAJ16,TRAJ,Human,yes
TRAJ17-1,TRAJ17,TRAJ,Human,yes
TRAJ2-01,TRAJ2,TRAJ,Human,yes
TRAJ2-1,TRAJ2,TRAJ,Human,yes
TRAJ20-1,TRAJ20,TRAJ,Human,yes
TRAJ21-1,TRAJ21,TRAJ,Human,yes
TRAJ24-1,TRAJ24,TRAJ,Human,yes
TRAJ28-1,TRAJ28,TRAJ,Human,yes
TRAJ3-01,TRAJ3,TRAJ,Human,yes
TRAJ3-1,TRAJ3,TRAJ,Human,yes
TRAJ3-2,TRAJ3,TRAJ,Human,yes
TRAJ31-1,TRAJ31,TRAJ,Human,yes
TRAJ32-1,TRAJ32,TRAJ,Human,yes
TRAJ33-1,TRAJ33,TRAJ,Human,yes
TRAJ34-1,TRAJ34,TRAJ,Human,yes
TRAJ36/DV7,TRAJ36,TRAJ,Human,yes
TRAJ37-1,TRAJ37,TRAJ,Human,yes
TRAJ37-2,TRAJ37,TRAJ,Human,yes
TRAJ4-01,TRAJ4,TRAJ,Human,yes
TRAJ4-1,TRAJ4,TRAJ,Human,yes
TRAJ40-1,TRAJ40,TRAJ,Human,yes
TRAJ42-1,TRAJ42,TRAJ,Human,yes
TRAJ44-1,TRAJ44,TRAJ,Human,yes
TRAJ47-1,TRAJ47,TRAJ,Human,yes
TRAJ5-01,TRAJ5,TRAJ,Human,yes
TRAJ5-1,TRAJ5,TRAJ,Human,yes
TRAJ53-1,TRAJ53,TRAJ,Human,yes
TRAJ54-1,TRAJ54,TRAJ,Human,yes
TRAJ6-01,TRAJ6,TRAJ,Human,yes
TRAJ8-01,TRAJ8,TRAJ,Human,yes
TRAJ9-01,TRAJ9,TRAJ,Human,yes
TRAJ9-1,TRAJ9,TRAJ,Human,yes
TRAJ9-14,TRAJ9,TRAJ,Human,yes
TCRAJ20,TRAJ20,TRAJ,Mouse,yes
TCRAJ45,TRAJ45,TRAJ,Mouse,yes
TRAJ1-01,TRAJ1-01,TRAJ,Mouse,no
TRAJ14,TRAJ14,TRAJ,Mouse,no
TRAJ2-01,TRAJ2,TRAJ,Mouse,yes
TRAJ3-01,TRAJ3,TRAJ,Mouse,yes
TRAJ4-01,TRAJ4,TRAJ,Mouse,yes
TRAJ5-01,TRAJ5,TRAJ,Mouse,yes
TRAJ6-01,TRAJ6,TRAJ,Mouse,yes
TRAJ9-01,TRAJ9,TRAJ,Mouse,yes
