V,Vcorrect,gene,species,Done
36/DV7,TRAV36/DV7,TRAV,HomoSapiens,yes
TCRAV1-1,TRAV1-1,TRAV,HomoSapiens,yes
TCRAV12-1,TRAV12-1,TRAV,HomoSapiens,yes
TCRAV12-2,TRAV12-2,TRAV,HomoSapiens,yes
TCRAV13-2,TRAV13-2,TRAV,HomoSapiens,yes
TCRAV14,TRAV14/DV4,TRAV,HomoSapiens,yes
TCRAV17,TRAV17,TRAV,HomoSapiens,yes
TCRAV19,TRAV19,TRAV,HomoSapiens,yes
TCRAV21,TRAV21,TRAV,HomoSapiens,yes
TCRAV23/DV6,TRAV23/DV6,TRAV,HomoSapiens,yes
TCRAV3,TRAV3,TRAV,HomoSapiens,yes
TCRAV38-1,TRAV38-1,TRAV,HomoSapiens,yes
TCRAV38-2/DV8,TRAV38-2/DV8,TRAV,HomoSapiens,yes
TCRAV41,TRAV41,TRAV,HomoSapiens,yes
TRA1-2,TRAV1-2,TRAV,HomoSapiens,yes
TRA21-01,TRAV21,TRAV,HomoSapiens,yes
TRAV-2,TRAV2,TRAV,HomoSapiens,yes
TRAV01-2,TRAV1-2,TRAV,HomoSapiens,yes
TRAV08-2,TRAV8-2,TRAV,HomoSapiens,yes
TRAV08-3,TRAV8-3,TRAV,HomoSapiens,yes
TRAV08-4,TRAV8-4,TRAV,HomoSapiens,yes
TRAV09-2,TRAV9-2,TRAV,HomoSapiens,yes
TRAV1-01,TRAV1-1,TRAV,HomoSapiens,yes
TRAV10-01,TRAV10,TRAV,HomoSapiens,yes
TRAV10-2,TRAV10,TRAV,HomoSapiens,yes
TRAV12-02,TRAV12-2,TRAV,HomoSapiens,yes
TRAV12-312-4,TRAV12-3,TRAV,HomoSapiens,yes
TRAV121,TRAV12-1,TRAV,HomoSapiens,yes
TRAV14,TRAV14/DV4,TRAV,HomoSapiens,yes
TRAV14DV4,TRAV14/DV4,TRAV,HomoSapiens,yes
TRAV16-01,TRAV16,TRAV,HomoSapiens,yes
TRAV17-01,TRAV17,TRAV,HomoSapiens,yes
TRAV19-,TRAV19,TRAV,HomoSapiens,yes
TRAV19-01,TRAV19,TRAV,HomoSapiens,yes
TRAV2-01,TRAV2,TRAV,HomoSapiens,yes
TRAV2-1,TRAV2,TRAV,HomoSapiens,yes
TRAV2-2,TRAV2,TRAV,HomoSapiens,yes
TRAV2-3,TRAV2,TRAV,HomoSapiens,yes
TRAV20-01,TRAV20,TRAV,HomoSapiens,yes
TRAV21-01,TRAV21,TRAV,HomoSapiens,yes
