J,Jcorrect,gene,species,Done
TCRBJ1-1,TRBJ1-1,TRBJ,HomoSapiens,yes
TCRBJ1-5,TRBJ1-5,TRBJ,HomoSapiens,yes
TCRBJ1-6,TRBJ1-6,TRBJ,HomoSapiens,yes
TCRBJ2-1,TRBJ2-1,TRBJ,HomoSapiens,yes
TCRBJ2-3,TRBJ2-3,TRBJ,HomoSapiens,yes
TCRBJ2-5,TRBJ2-5,TRBJ,HomoSapiens,yes
TRBJ01-01,TRBJ1-1,TRBJ,HomoSapiens,yes
TRBJ01-02,TRBJ1-2,TRBJ,HomoSapiens,yes
TRBJ01-03,TRBJ1-3,TRBJ,HomoSapiens,yes
TRBJ01-04,TRBJ1-4,TRBJ,HomoSapiens,yes
TRBJ01-05,TRBJ1-5,TRBJ,HomoSapiens,yes
TRBJ01-06,TRBJ1-6,TRBJ,HomoSapiens,yes
TRBJ02-01,TRBJ2-1,TRBJ,HomoSapiens,yes
TRBJ02-02,TRBJ2-2,TRBJ,HomoSapiens,yes
TRBJ02-03,TRBJ2-3,TRBJ,HomoSapiens,yes
TRBJ02-04,TRBJ2-4,TRBJ,HomoSapiens,yes
TRBJ02-05,TRBJ2-5,TRBJ,HomoSapiens,yes
TRBJ02-06,TRBJ2-6,TRBJ,HomoSapiens,yes
TRBJ02-07,TRBJ2-7,TRBJ,HomoSapiens,yes
TRBJ2.1,TRBJ2-1,TRBJ,HomoSapiens,yes
TRBJ2.7,TRBJ2-7,TRBJ,HomoSapiens,yes
TRBJ2.5,TRBJ2-5,TRBJ,HomoSapiens,yes
TRBJ1.2,TRBJ1-2,TRBJ,HomoSapiens,yes
TRBJ2.3,TRBJ2-3,TRBJ,HomoSapiens,yes
TRBJ10-1,TRBJ1-1,TRBJ,HomoSapiens,yes
TRBJ2-7,TRBJ2-7,TRBJ,HomoSapiens,yes
TRBJ20-1,TRBJ2-1,TRBJ,HomoSapiens,yes
TRBJTRBJ2-7,TRBJ2-7,TRBJ,HomoSapiens,yes
TCRBJ2-2,TRBJ2-2,TRBJ,MusMusculus,yes
TCRBJ2-7,TRBJ2-7,TRBJ,MusMusculus,yes
TRBJ1.1,TRBJ1-1,TRBJ,MusMusculus,yes
TRBJ1.2,TRBJ1-2,TRBJ,MusMusculus,yes
TRBJ1.3,TRBJ1-3,TRBJ,MusMusculus,yes
TRBJ1.4,TRBJ1-4,TRBJ,MusMusculus,yes
TRBJ1.5,TRBJ1-5,TRBJ,MusMusculus,yes
TRBJ1.6,TRBJ1-6,TRBJ,MusMusculus,yes
TRBJ1.7,TRBJ1-7,TRBJ,MusMusculus,yes
TRBJ2,TRBJ2-1,TRBJ,MusMusculus,yes
TRBJ2.1,TRBJ2-1,TRBJ,MusMusculus,yes
TRBJ2.2,TRBJ2-2,TRBJ,MusMusculus,yes
TRBJ2.3,TRBJ2-3,TRBJ,MusMusculus,yes
TRBJ2.4,TRBJ2-4,TRBJ,MusMusculus,yes
TRBJ2.5,TRBJ2-5,TRBJ,MusMusculus,yes
TRBJ2.6,TRBJ2-6,TRBJ,MusMusculus,yes
TRBJ2.7,TRBJ2-7,TRBJ,MusMusculus,yes
