V,Vcorrect,gene,species,Done
TCRBV11-2,TRBV11-2,TRBV,Human,yes
TCRBV19,TRBV19,TRBV,Human,yes
TCRBV6-6,TRBV6-6,TRBV,Human,yes
TCRBV7-3,TRBV7-3,TRBV,Human,yes
TCRBV7-9,TRBV7-9,TRBV,Human,yes
TRBV01-01,TRBV1,TRBV,Human,yes
TRBV02-01,TRBV2,TRBV,Human,yes
TRBV03-01/03-02,TRBV3-1,TRBV,Human,yes
TRBV04-01,TRBV4-1,TRBV,Human,yes
TRBV04-02,TRBV4-2,TRBV,Human,yes
TRBV04-03,TRBV4-3,TRBV,Human,yes
TRBV05-01,TRBV5-1,TRBV,Human,yes
TRBV05-03,TRBV5-3,TRBV,Human,yes
TRBV05-04,TRBV5-4,TRBV,Human,yes
TRBV05-05,TRBV5-5,TRBV,Human,yes
TRBV05-06,TRBV5-6,TRBV,Human,yes
TRBV05-07,TRBV5-7,TRBV,Human,yes
TRBV05-08,TRBV5-8,TRBV,Human,yes
TRBV06-01,TRBV6-1,TRBV,Human,yes
TRBV06-02,TRBV6-2,TRBV,Human,yes
TRBV06-02/06-03,TRBV6-2,TRBV,Human,yes
TRBV06-03,TRBV6-3,TRBV,Human,yes
TRBV06-04,TRBV6-4,TRBV,Human,yes
TRBV06-05,TRBV6-5,TRBV,Human,yes
TRBV06-06,TRBV6-6,TRBV,Human,yes
TRBV06-07,TRBV6-7,TRBV,Human,yes
TRBV06-08,TRBV6-8,TRBV,Human,yes
TRBV06-09,TRBV6-9,TRBV,Human,yes
TRBV07-01,TRBV7-1,TRBV,Human,yes
TRBV07-02,TRBV7-2,TRBV,Human,yes
TRBV07-03,TRBV7-3,TRBV,Human,yes
TRBV07-04,TRBV7-4,TRBV,Human,yes
TRBV07-06,TRBV7-6,TRBV,Human,yes
TRBV07-07,TRBV7-7,TRBV,Human,yes
TRBV07-08,TRBV7-8,TRBV,Human,yes
TRBV07-09,TRBV7-9,TRBV,Human,yes
TRBV09-01,TRBV9,TRBV,Human,yes
TRBV09-01*01,TRBV9,TRBV,Human,yes
TRBV1-01,TRBV1,TRBV,Human,yes
TRBV1-04,TRBV1,TRBV,Human,yes
TRBV1-05,TRBV1,TRBV,Human,yes
TRBV1-1,TRBV1,TRBV,Human,yes
TRBV1-4,TRBV1,TRBV,Human,yes
