Name,CorrectedName,chain
Va,TRAV,AB
V_alpha,TRAV,AB
Ja,TRAJ,AB
J_alpha,TRAJ,AB
CDR3a,cdr3_TRA,AB
CDR3A,cdr3_TRA,AB
CDR3_alpha,cdr3_TRA,AB
Vb,TRBV,AB
V_beta,TRBV,AB
TRBV_gene,TRBV,AB
Jb,TRBJ,AB
J_beta,TRBJ,AB
TRBJ_gene,TRBJ,AB
CDR3b,cdr3_TRB,AB
CDR3B,cdr3_TRB,AB
CDR3_beta,cdr3_TRB,AB
v_call,TRAV,A
vGeneName,TRAV,A
v_resolved,TRAV,A
allVHitsWithScore,TRAV,A
allVGenes,TRAV,A
V-region,TRAV,A
v_gene,TRAV,A
V,TRAV,A
j_call,TRAJ,A
jGeneName,TRAJ,A
j_resolved,TRAJ,A
allJHitsWithScore,TRAJ,A
allJGenes,TRAJ,A
J-region,TRAJ,A
j_gene,TRAJ,A
J,TRAJ,A
junction_aa,cdr3_TRA,A
aminoAcid,cdr3_TRA,A
amino_acid,cdr3_TRA,A
aaSeqCDR3,cdr3_TRA,A
CDR3 amino acid seq,cdr3_TRA,A
cdr3,cdr3_TRA,A
CDR3,cdr3_TRA,A
CDR3_seq,cdr3_TRA,A
v_call,TRBV,B
vGeneName,TRBV,B
v_resolved,TRBV,B
allVHitsWithScore,TRBV,B
allVGenes,TRBV,B
V-region,TRBV,B
v_gene,TRBV,B
V,TRBV,B
j_call,TRBJ,B
jGeneName,TRBJ,B
j_resolved,TRBJ,B
allJHitsWithScore,TRBJ,B
allJGenes,TRBJ,B
J-region,TRBJ,B
j_gene,TRBJ,B
J,TRBJ,B
junction_aa,cdr3_TRB,B
aminoAcid,cdr3_TRB,B
amino_acid,cdr3_TRB,B
aaSeqCDR3,cdr3_TRB,B
CDR3 amino acid seq,cdr3_TRB,B
cdr3,cdr3_TRB,B
CDR3,cdr3_TRB,B
CDR3_seq,cdr3_TRB,B
